Author,Comment,Predicted_Class
@user-hu1ub8yh5p,A 😂😂😂😂😂😂😂hahahahahahaha😂😂,2
@user-rg2tg3bm4t,Гей,2
@user-rg2tg3bm4t,Красиво,2
@user-hg4gd8uz5p,noooooooooooooooooooooo😡😡😡😡😡😡,2
@user-hg4gd8uz5p,💀👆,2
@spideyman9553,"<a href=""https://www.youtube.com/watch?v=jtBACN-yniI&t=306"">5:06</a> got me dying",2
@letoshiaabell1273,"Hahahahahah <a href=""https://www.youtube.com/watch?v=jtBACN-yniI&t=702"">11:42</a>",2
@letoshiaabell1273,"<a href=""https://www.youtube.com/watch?v=jtBACN-yniI&t=643"">10:43</a> I exploded",2
@smartkidslearningcentre-nu6ch,I am seven😂😂😂😂😂😂,2
@diegoguevara279,"<a href=""https://www.youtube.com/watch?v=jtBACN-yniI&t=297"">4:57</a> I cried of laughter:D",2
@user-ep9fq2lx2y,😅😅😅😅😅😅,2
@sabikunnahar6645,5;50 got me diening 🤣🤣🤣🤣🤣🤣🤣🤣🤣,2
@user-gd9bp8su6f,Hi,2
@bedantadas31,"<a href=""https://www.youtube.com/watch?v=jtBACN-yniI&t=582"">9:42</a> 😂 lol",2
@dimitarkostadinov7811,Why every one hate you 😭😭😭,2
@user-uv3ek4fk9w,I KNOW HE'S MAD BUT HE CAN'T LITERALLY A BAD WORD LIKE ONE TRILLION,2
@NivanthNakarmi,Ahahaha,2
@AbdulXd-iz6jb,Are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are,2
@turbo_playz1542,"<a href=""https://www.youtube.com/watch?v=jtBACN-yniI&t=452"">7:32</a>  i went rolling to roller skate park without roller skates",2
@arinaarina8880,Ishowspeed your nose is normal don’t think about the other people do not care what they say about your nose ❤❤❤❤,2
@arinaarina8880,One day my comment will be viral😢😢😢😢😢😢😢😢😢😢😢😢😢😊😊,2
@arinaarina8880,Bark bark,2
@Dominatori,😂ძალიან სასაცილო ხარ 😂😂😂😂😂ყლეო😂😂😂😂დდდდდდდდდდდდდდდდდდ😂😂😂😂😂😂😂😂😂😂😂,2
@MyAlma75,Bro can you stop sitting on your desk please and stop looking at your it disgusting arts now just leave it alone are labour I don't like Barnardo I like Messi Siri I like it Siri so do not say about that 🤬🤬,2
@reameiluh3363,Haha Ronaldo siuuu,2
@cobra_dc,"<a href=""https://www.youtube.com/watch?v=jtBACN-yniI&t=222"">3:42</a> Goody ah Tupac",2
@ishowmonkey6451,this was so inspirational,2
@Croissant009,"<a href=""https://www.youtube.com/watch?v=jtBACN-yniI&t=437"">7:17</a> thats chile",2
@meganmiller7639,Yes. It. Is,2
@user-xj2nh1hy5n,Messi is better then ronaldo,2
@PardeepSingh-iy7fi,ITS TRUE YOUR NOSE IS FU*<b>*</b> BIG MAN <br><br>PEOPLE WHO AGREE 👍 💯 <br>👇,1
@justsmile2610,HAHAHAH<br>I LOVE THESE I I SHOOW MEAT VIDEOS,2
@user-eb7pl1dg1p,ЕМА,2
@art-xs5gq,❤❤❤❤❤❤❤,2
@fz_tge8865,big ass nostrils,1
@user-wi4ox7ju2w,Jho,2
@user-tt7fv5tn7h,XD,2
@TravelBoastAndCastleLegend,"<a href=""https://www.youtube.com/watch?v=jtBACN-yniI&t=443"">7:23</a> chile",2
@raphaelpostigo6624,Ahhhhhhhhhh the f*<b>******</b>,1
@stephanieclosson687,People are so rude but I’m a big fan 😊,2
@joshv5096,Usually have boogers in your nose that's kind of nasty but your nose is big enough to hear it now and subscribes it now,2
@joshv5096,Vanna girl I love you r a little more to hear that you you you deserve u y are the best exactly that is you and we can and we can comment so don't even dare talk back to us like we didn't even do anything we're just having some trouble like drawing things so don't get like mad,2
@user-kt5cm1gu3p,What is wrong with you?,2
@user-sw4ln4jr9u,"<a href=""https://www.youtube.com/watch?v=jtBACN-yniI&t=806"">13:26</a> Lol ishowspeed😂",2
@VelickaSergeeva,Why are you always Barking,2
@elizabethbentley4117,Try to find The word the in the other Comment,2
@tamasjerome1750,No I draw that picture,2
@tamasjerome1750,"I shall <a href=""http://speak.you/"">speak.You</a> know some of those pictures that are so good or fake",2
@Emptyfiledrools,i saw some people in the comments saying i show meat,2
@baparawinrawin6246,Key kau disini koin Lego❤❤❤❤❤❤❤🎉,2
@user-fv5bd2kl1i,1:3 ishospeed,2
@MrHitman120,What is your nose look like Pipes,2
@nikol9149,記入です。女ジャパニーズ,2
@nikol9149,ウィアーライクザットワズ,2
@andy-beatricestephen-matti441,😅mm,2
@ivanafarias2369,Messi messi messi messi messi messi,2
@pie31487,"<a href=""https://www.youtube.com/watch?v=jtBACN-yniI&t=339"">5:39</a> OML I COULDN'T STOP LAUGHING THIS IS SO HILARIOUS 💀💀💀",2
@user-px7fz4kf3j,Speed video babalalada😂😂😂😂,2
@violetaasllani5504,Ishoo spid,2
@boitumelopogiso2165,If you realise some of these pictures are printed😂,2
@leoneljerwinbitagan6546,"<a href=""https://www.youtube.com/watch?v=jtBACN-yniI&t=336"">5:36</a> He's Nose 😂😂😂😂😂😂😂",2
