Author,Comment,Predicted_Class
@Dabrioriyook,Nee paeannad okke ann but mukath thekkanam enn ari annan parannad avide oru situation create cheyyan,2
@REJINLALable,poda mayre,2
@faahim.,Abhishek sreekumar chumma🔥,2
@eldhojvaliyaveeden,Public agent in varshagalkku shesham 😅,2
@sandeeptc1526,Car inde ullil kunna pidicha pore Public inde ullil venno,1
@1Tap726,3:57,2
@PravasiBro,Ex- Ari Fans come on. 😅❤,2
@nameund,Ithokke paryan ninak.....,2
@arunarun8354,Will not change 😂😂will die 😅😅,2
@The.minionss,Secret agent ❎Jasmine agent ✅,2
@mrz_futbal.,Jinto fans assemble-->>>>>>>>>>,2
@mrz_futbal.,Abhishek sreekumaran fans unso?,2
@faixxy5304,Satyam paranja ari annan thenju😂😂,2
@faixxy5304,Neeyum oru shotta aaannn😂😂,2
@ronaldo910,Ari Annan oru mara vazha thanne😂😂,2
@noblebinoy5280,Abhishek s fans 💀,2
@GAMINGMACHAN203,"This is not a secret agent, my secret agent is not like this",2
@krishnaveni3291,Nandana over show.........👀,2
@creepy_facts_2003,Sathyam ari annan vannal polikkum ennu vechatha but😒😒😒😒,2
@ashrafacchu861,Secret agent moye moye moye 😅,2
@user-uh4ug3pm9f,Sai ippo kozhi aayi 😂😂ippo Jasmine de koodeyanu mara kozhi 😆athe enth seyyum mallayya 😂cari il irunn ennum video cheyth show kanikkum 😅Mara viddi,2
@mushthaq_,Malappuram boy 😂,2
@niyas1419,😍😍😍😍😍😍😍,2
@irshadkalappadan,If you don’t have know about how it’s going through a participant,2
@user-cw4ye8rf9b,Ari vevan samayam edukkum😂,2
@user-cw4ye8rf9b,Sibinism,2
@Patriot-777l,Moye moye,2
@mirfasworldvlog,Moye moye😂,2
@fbgamer4170,😂,2
@mirza_ahammed,Ari annan oombi😂,2
@SKETCH-SR-10,Ani umbi😂😂😂😂😂😂😂 secret agent pande oru punda thanne😂,1
@nahyankhalid7631,Abishek s🗿,2
@zainudheen4090,Bro pls watch live Don't trust episodes,2
@Chippu826,Jinto fanboy,2
@swaroopkrishnanskp4860,malappuram karan ann............... naatikaruth,2
@edwinjijo6978,"If you get into bb yil, you only have time to stay in the air",2
@lightbroyt5081,Ari Annan ullill ulle thayirathilayrikum ee roast le😂😂 Correct annel like adi,2
@ASWINMK-sl7pt,People named Abhishek like,2
@Raavanan-cd3mg,Mind gamenn paranjitt orunaathiri mandan game aaya thonnunne😂😂,2
@praveenkottakkal5623,Dey conversation mothamayi kelkk allathe enthuvade chumma irunn thallunne,2
@diff_think1493,Secret agent × pen kondan 😂😂,2
@sujathathakkudu4353,Oru 50 like tharuvo❤,2
@dhanish.k5997,Jasmin agent when secret agent big bossil arrived inside the car,2
@aadmx8710,ARI ANNAN ❌ KARI ANNAN ✅,2
@vintagegaming9899,Why did he go to this... 😂to buy food,2
@pruthyurajvaju1917,Waste contestant,2
@gayathrimohan8823,caril irunaaaa poooreeernnnoooooo😂😂😂😂😂😂,2
@sabnadiaries3160,Sai verum marapazh.carilirnn valavala pryne aryu😂,2
@killerpneumonia5114,ARI I GIVE ❌I GIVE A COUPLE ✅,2
@Honda_civic_69,Ashkaritha her chiri kollam,2
@AniyagracejoseJose,Open closet,2
@user-jy6lj7vd3w,Secret fan❤,2
@hafeelbasheer1251,Jasmine agent🤣🤣,2
@simplyeditcreations979,Jasmine agent😂😂😂😂,2
@Itz_me_amrutha..,Boss Squirrel bought a car and put it inside so at least let him open his mouth... 🤦🏻‍♀️ There was a good hope when Secret Agent left but it was washed away.. I thought that Sibin would be on the side but it broke the spot..,2
@IRONBOYY-ei2xl,2:52  abisheik sreeekumar💥💥,2
@athullllllll,Le Annan = yarunu to sit in the car,2
@astroboy6301,Ini ivannn shine cheyyanel orru car task veranam😂,2
@MuhammedShaheerp,❤❤❤❤❤❤❤❤❤,2
@MuhammedShaheerp,❤❤❤❤❤❤,2
@albertbiju955,Oro likinum njn 1-pushup adukum,2
@Shahanas_parakkal786,Ithinaayitt elpicathaano😂,2
@JOURNEY_WITH_MHB_,Abishek 🔥🔥,2
@Annmariasunil2,Rice squirrel ❌ Eagle Squirrel ✅,2
@manusvloger2297,"If you like Big Boss, click like",2
@Sonu669,Secret Agent active power mode only in car for 10-20 minutes video 😂😂,2
@afluuuu,theere asooya illa lle @ashkar techy💩,2
@fellaaah._,Moyeee moyeeee😂,2
@IyasudheenIyasu,Thoppi vannall seen akkum,2
@ShajimaSalah,Oru 10 like teruvo plz,2
@shijivinod5274,Thoppi bigg boss housil varanam 😂,2
@SuryaJS-zq3xv,You have to take it there too 😅,2
@Zlatan_.,Sibin and Abhishek Sreekumar nalla gamers ahnu but secret agent🥴,2
@amalavani7,Abhishek S is the best player,2
@sudheernaz503,Sai is a bad boy😅,2
@renjithsahadevan4110,sherikun oru bmw 520d kodutha porannooo😂😂😂,2
@dhashamoolamdhamu5678,Jinto Fans💥,2
@susannakurian26,ith enna bigboss channel anno bro ingane allarunallo,2
@hishamuk7733,Eda 😂😂 boy game an avare randaleyum kodi adipocha karyam simple 😂avummb,2
@majidhaadhil1807,"Podaa athu mikkavarum boss paranjathayarikkum,, Nee verum koppana haters ullavare mathram oombunna koppan kurach fans ulla aalkkaare onnum parayillaaa chettaaa",2
@shahidasalam7762,Jasmi haters like👇,2
@shahidasalam7762,Sai full moye moye aanalloo😂😂😂,2
@vinsmokezoro9,Abhishek Sreekumar ✅🗿,2
@cenin.1606,Amhne caril irunale moode varo,2
@HTIIndia,Pina yum umpi agent,2
@HTIIndia,Umpi agent😂😂😂😂😂😂,2
@user-ln9qn8zi1e,Enikk mathram enthaa 1000like kittaathath😢,2
@sindushinoj793,Ashkar techy ❌ Bigg Boss techy ✅,2
@drago93ff,NO CAR NO GAME 😏,2
@MENINBRAVE,Ullup ondo chegayi anakk,2
@coffee9028,mandan agent,2
@sajith2326,Ivan kurach over anenn oru doubt illathilla.,2
@Mallu_efootball_,😂😂😂😂😂,2
@user-mg1ir6gm2s,Best player jasminnnn,2
@user-mg1ir6gm2s,Jasmin ishthamullavar undooo❤,2
@Priya_Santhosh_,njaan livil kandu saayikku randaamathe warning kittitund ... 3rd time bigbos avane purathaakkum😅,2
@Mr_y2k_boy,Ottakk chali paran ottakk cherikkunn,2
@guppyZlifE,Nee poyalum ethoke thanne avasta😂,2
@AjayBinu-jv8vj,Poyi Pani eduth jeevikku chetta....,2
@anandhuradhakrishnan8690,Panna karimbara polayadi mone😂,2
