Author,Comment
@techfun4965,Ee pooranu aa music direction ayittu nadannaal pore
@abhishekraghu3220,Malayalikal ellam moshakkar penkuttikal oyike😂
@ArunR-ov3tm,Malayalikale aake paade thazhuthi ..
@jakzzcreation4553,Song is super
@keerthinaveen7042,malayalam dogs are having that gultiness they are showed their bastard charecters 😂😂😂😂😂😂😂😂
@Creatormedia693,Malayalam padangal hit aavunath kandu malayalam styleil padam edutjatja ippo maothathil moonjo
@jayK914,But our little Mamita Kochu has gone through this too soon 😢
@jayK914,Ijjati inferiority words 🤣
@goldenflowerschannel6963,A man from Palakkad should first tell the officials of Chittoor College who gave permission to take pictures like this on the campus...!🤦🏻
@shravanak898,Le Sanskrit 😂😂 What a fool I am 🤣🤣
@Comic-Z3089,🤣
@choyikuttyc570,Oru Mexican aparatha is mixed with TSP ...😂😂
@Ajentertainment90,Manjummal Bais has shown Tamil police very badly.. Just watch Ithum angane..<br> (Those who say it happened must prove it did not happen.)
@SankarGS,"Mair is this the song when the hero first looks at the heroine 😆🔥Hmm, even worse than this, he is better looking at the Tamil girl 😸😸"
@PriyeshK-hu4wl,Last Mamukoya 😂😂😂😂
@Omanaunni,"Mamata Baiju, who went to spoil the Malayalees for money and relevance, if you say that she should be called Cheta&#39;s mole, she should not be allowed to set foot in Kerala. Similarly, if a Tamil actress had been shown, Tamilians would have rejected her."
@user-nq6re3lg5y,"Malayalee female directors make Tamils happy (Manjummal Boys) When trying to earn money, Tamil actors put us in a circle.. This is the picture.. Malayalee boys and girls are bad."
@vishnumr8014,"The queens of Kerala are interested in the pandis, no matter how much the pandis insult the Malayalis, the Malayalee Poomaks who support them 😡"
@mallupagan,😂😂😂
@rrassociates8711,Rss is funding
@Travelnbites,Come to study and die fighting 😂😂😂
@SPECTOR_X,"<a href=""https://www.youtube.com/watch?v=bm38ntcQh_s&amp;t=321"">5:21</a> ith edh myr 😂😂😂 ayooo<br><a href=""https://www.youtube.com/watch?v=bm38ntcQh_s&amp;t=333"">5:33</a>adtha myr😂😂"
@SPECTOR_X,"<a href=""https://www.youtube.com/watch?v=bm38ntcQh_s&amp;t=304"">5:04</a> ath engane girls nn ishttam pulligom🏳‍🌈🏳‍🌈 aale"
@user-uw7wk9ro8v,Foods
@user-kk3fp8fi9w,Thalapathu vijay unga puthiguthatha 13 yearsha unga muchila muliga varala
@user-jx4sl2ik8e,🥴
@manumaheendran2008,Kidu😅
@deepakdileep5860,Trollan onnumilla erakore sathyam thanne alle
@hipzz3168,Mamitha baiju lotta thayoli
@aviramps3634,Open mouth bharni song 😂😂
@rahulr6156,Ivide keralathile ottumika padangalil thamizhanmare alle villain ait kanikunad.pine avark kanichude
@jeslinjacob3024,Mexican Aparatha Super
